JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458659.43462,16.197,0.03,,V,EHEA,,ensemble,000-BNC-523,X24436FB,,0,,Z,,14.555,,SN 2019EIN,AAVSO,STD,,,,
2458659.66002,16.162,0.065,,V,CDAD,,ENSEMBLE,146,X24437T,,0,1.027,Z,,14.536,,SN 2019EIN,,STD,0,,,
2458659.66073,16.063,0.059,,V,CDAD,,ENSEMBLE,146,X24437T,,0,1.028,Z,,14.570,,SN 2019EIN,,STD,0,,,
2458659.66145,16.254,0.073,,V,CDAD,,ENSEMBLE,146,X24437T,,0,1.029,Z,,14.583,,SN 2019EIN,,STD,0,,,
2458659.66215,16.229,0.074,,V,CDAD,,ENSEMBLE,146,X24437T,,0,1.029,Z,,14.580,,SN 2019EIN,,STD,0,,,
2458659.66287,16.105,0.071,,V,CDAD,,ENSEMBLE,146,X24437T,,0,1.030,Z,,14.579,,SN 2019EIN,,STD,0,,,
2458660.35774,16.33,,,V,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458660.37191,15.93,,,R,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458660.38494,16.29,,,V,MMAO,,000-BNC-522,,X24469AG,,0,,Z,14.32,,,SN 2019EIN,AAVSO,STD,,,,
2458660.39147,16.87,,,SG,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458660.40559,16.28,,,SI,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458660.41979,16.19,,,SR,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458661.40778,16.30,,,V,MMAO,,000-BNC-522,,24469AG,,0,,Z,14.32,,,SN 2019EIN,AAVSO,STD,,,,
2458662.37944,16.36,,,V,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458662.38598,16.37,,,V,MMAO,,000-BNC-522,,X24469AG,,0,,Z,14.32,,,SN 2019EIN,AAVSO,STD,,,,
2458662.39354,16.06,,,R,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458662.39465,16.3,0.1,,CV,BJMC,,,,from Guide9,,0,,Z,15.4,,,SN 2019EIN,AAVSO,STD,,,,
